"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trigger","coordinates","correct","correct_keyboard_response","correct_keyboard_response_1","correct_new_joystick","correct_new_joystick_1","correct_new_joystick_2","correct_new_joystick_3","correct_new_joystick_3_1","correct_new_keyboard_response","correct_new_keyboard_response_1","correct_new_port_reader","correct_new_touch_response","correct_new_touch_response_1","correct_response","count_Finished_practice","count______sketchpad","count__inline_script","count__inline_script_1","count__one","count__one_1","count__one_2","count__one_2_1","count__sequence","count__sketchpad","count__sketchpad_1","count__three","count__three_1","count__three_1_1","count__two","count__two_1","count__two_1_1","count_experiment","count_fix_canvas","count_fix_trigger","count_get_stimuli","count_get_stimuli_1","count_get_stimuli_2","count_getting_started","count_initport","count_instructions","count_instructions_1","count_keyboard_response","count_keyboard_response_1","count_load_dlportioDLL","count_logger","count_logger_1","count_loop","count_new_fixation_dot","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_joystick","count_new_joystick_1","count_new_joystick_2","count_new_joystick_3","count_new_joystick_3_1","count_new_keyboard_response","count_new_keyboard_response_1","count_new_parallel_port_trigger","count_new_parallel_port_trigger_1","count_new_parallel_port_trigger_1_1","count_new_parallel_port_trigger_1_2","count_new_parallel_port_trigger_2","count_new_parallel_port_trigger_init","count_new_port_reader","count_new_sketchpad","count_new_touch_response","count_new_touch_response_1","count_one","count_practice_instructions","count_practice_loop","count_practice_loop_1","count_practice_sequence","count_practice_sequence_1","count_practice_trials","count_practice_trials_1","count_response_canvas","count_response_canvas_1","count_response_processing","count_response_processing_1","count_response_processing_1_1","count_sequence","count_sketchpad","count_sketchpad_1","count_sketchpad_1_1","count_three","count_trial_trigger","count_trigger11","count_two","count_welcome","cursor_x","cursor_y","datetime","description","experiment_file","experiment_path","flanker_type","font_bold","font_family","font_italic","font_size","foreground","height","keyboard_backend","lexicality","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finished_practice","response______sketchpad","response__sketchpad","response__sketchpad_1","response_instructions","response_instructions_1","response_keyboard_response","response_keyboard_response_1","response_new_fixation_dot","response_new_joystick","response_new_joystick_1","response_new_joystick_2","response_new_joystick_3","response_new_joystick_3_1","response_new_keyboard_response","response_new_keyboard_response_1","response_new_port_reader","response_new_sketchpad","response_new_touch_response","response_new_touch_response_1","response_practice_instructions","response_time","response_time_Finished_practice","response_time______sketchpad","response_time__sketchpad","response_time__sketchpad_1","response_time_instructions","response_time_instructions_1","response_time_keyboard_response","response_time_keyboard_response_1","response_time_new_fixation_dot","response_time_new_joystick","response_time_new_joystick_1","response_time_new_joystick_2","response_time_new_joystick_3","response_time_new_joystick_3_1","response_time_new_keyboard_response","response_time_new_keyboard_response_1","response_time_new_port_reader","response_time_new_sketchpad","response_time_new_touch_response","response_time_new_touch_response_1","response_time_practice_instructions","response_time_welcome","response_welcome","sampler_backend","start","subject_nr","subject_parity","synth_backend","target","time_Finished_practice","time______sketchpad","time__inline_script","time__inline_script_1","time__one","time__one_1","time__one_2","time__one_2_1","time__sequence","time__sketchpad","time__sketchpad_1","time__three","time__three_1","time__three_1_1","time__two","time__two_1","time__two_1_1","time_experiment","time_fix_canvas","time_fix_trigger","time_get_stimuli","time_get_stimuli_1","time_get_stimuli_2","time_getting_started","time_initport","time_instructions","time_instructions_1","time_keyboard_response","time_keyboard_response_1","time_load_dlportioDLL","time_logger","time_logger_1","time_loop","time_new_fixation_dot","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_joystick","time_new_joystick_1","time_new_joystick_2","time_new_joystick_3","time_new_joystick_3_1","time_new_keyboard_response","time_new_keyboard_response_1","time_new_parallel_port_trigger","time_new_parallel_port_trigger_1","time_new_parallel_port_trigger_1_1","time_new_parallel_port_trigger_1_2","time_new_parallel_port_trigger_2","time_new_parallel_port_trigger_init","time_new_port_reader","time_new_sketchpad","time_new_touch_response","time_new_touch_response_1","time_one","time_practice_instructions","time_practice_loop","time_practice_loop_1","time_practice_sequence","time_practice_sequence_1","time_practice_trials","time_practice_trials_1","time_response_canvas","time_response_canvas_1","time_response_processing","time_response_processing_1","time_response_processing_1_1","time_sequence","time_sketchpad","time_sketchpad_1","time_sketchpad_1_1","time_three","time_trial_trigger","time_trigger11","time_two","time_welcome","title","total_correct","total_response_time","total_responses","trigger_01","trigger_250","trigger_60","trigger_70","trigger_80","uniform_coordinates","width"
"100","100","742","742","#878787","no","xpyriment","legacy","legacy","0","3675530","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","0","NA","0","NA","0","0","NA","0","0","NA","0","0","NA","0","12","12","0","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","0","NA","12","0","NA","NA","NA","0","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","12","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","NA","NA","space","528","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","528","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","joue joue joue","3649145","NA","NA","NA","3677428","NA","3614558","NA","3675898","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3678278","3678278","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3680393","NA","3673990","NA","3678930","NA","NA","NA","NA","3679148","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3679677","NA","NA","NA","NA","NA","NA","NA","3678178","NA","NA","NA","New experiment","13","9652","13","3680393","3678278","3678980","3679148","3679680","no","1024"
"100","100","733","733","#878787","no","xpyriment","legacy","legacy","0","3681982","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","1","NA","0","NA","1","1","NA","1","0","NA","1","0","NA","0","13","13","0","NA","0","NA","NA","NA","0","NA","NA","0","1","NA","0","NA","13","0","NA","NA","NA","1","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","13","NA","NA","NA","NA","NA","NA","NA","13","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","NA","NA","space","621","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","621","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy"," brin ","3649145","NA","NA","NA","3677428","NA","3614558","NA","3682263","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3682364","3682364","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3684579","NA","3673990","NA","3683022","NA","NA","NA","NA","3683239","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3683861","NA","NA","NA","NA","NA","NA","NA","3682264","NA","NA","NA","New experiment","14","10273","14","3684579","3682364","3683072","3683238","3683865","no","1024"
"100","100","716","716","#878787","no","xpyriment","legacy","legacy","0","3686137","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","2","NA","0","NA","2","2","NA","2","0","NA","2","0","NA","0","14","14","0","NA","0","NA","NA","NA","0","NA","NA","0","2","NA","0","NA","14","0","NA","NA","NA","2","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","14","NA","NA","NA","NA","NA","NA","NA","14","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","space","474","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","474","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","soge soge soge","3649145","NA","NA","NA","3677428","NA","3614558","NA","3686509","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3686610","3686610","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3688683","NA","3673990","NA","3687274","NA","NA","NA","NA","3687490","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3687965","NA","NA","NA","NA","NA","NA","NA","3686510","NA","NA","NA","New experiment","15","10747","15","3688683","3686610","3687324","3687490","3687971","no","1024"
"93.75","93.75","726","726","#878787","no","xpyriment","legacy","legacy","0","3690240","relative","0","NA","NA","NA","NA","0","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","3","NA","0","NA","3","3","NA","3","0","NA","3","0","NA","0","15","15","0","NA","0","NA","NA","NA","0","NA","NA","0","3","NA","0","NA","15","0","NA","NA","NA","3","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","15","NA","NA","NA","NA","NA","NA","NA","15","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","space","872","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","872","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","sang pire sang","3649145","NA","NA","NA","3677428","NA","3614558","NA","3690611","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3690712","3690712","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3693188","NA","3673990","NA","3691380","NA","NA","NA","NA","3691596","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3692469","NA","NA","NA","NA","NA","NA","NA","3690612","NA","NA","NA","New experiment","15","11619","16","3693188","3690712","3691430","3691596","3692476","no","1024"
"94.1176470588","94.1176470588","730","730","#878787","no","xpyriment","legacy","legacy","0","3694740","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","4","NA","0","NA","4","4","NA","4","0","NA","4","0","NA","0","16","16","0","NA","0","NA","NA","NA","0","NA","NA","0","4","NA","0","NA","16","0","NA","NA","NA","4","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","16","NA","NA","NA","NA","NA","NA","NA","16","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","NA","NA","space","804","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","804","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","truc plie truc","3649145","NA","NA","NA","3677428","NA","3614558","NA","3695110","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3695211","3695211","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3697614","NA","3673990","NA","3695871","NA","NA","NA","NA","3696088","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3696893","NA","NA","NA","NA","NA","NA","NA","3695111","NA","NA","NA","New experiment","16","12423","17","3697614","3695211","3695921","3696087","3696901","no","1024"
"94.4444444444","94.4444444444","725","725","#878787","no","xpyriment","legacy","legacy","0","3699160","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","5","NA","0","NA","5","5","NA","5","0","NA","5","0","NA","0","17","17","0","NA","0","NA","NA","NA","0","NA","NA","0","5","NA","0","NA","17","0","NA","NA","NA","5","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","17","NA","NA","NA","NA","NA","NA","NA","17","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","space","632","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","632","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","bixe pras bixe","3649145","NA","NA","NA","3677428","NA","3614558","NA","3699529","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3699630","3699630","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3701852","NA","3673990","NA","3700283","NA","NA","NA","NA","3700499","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3701133","NA","NA","NA","NA","NA","NA","NA","3699530","NA","NA","NA","New experiment","17","13055","18","3701852","3699630","3700333","3700499","3701139","no","1024"
"94.7368421053","94.7368421053","710","710","#878787","no","xpyriment","legacy","legacy","0","3703397","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","6","NA","0","NA","6","6","NA","6","0","NA","6","0","NA","0","18","18","0","NA","0","NA","NA","NA","0","NA","NA","0","6","NA","0","NA","18","0","NA","NA","NA","6","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","18","NA","NA","NA","NA","NA","NA","NA","18","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","NA","NA","space","452","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","452","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","gain gain gain","3649145","NA","NA","NA","3677428","NA","3614558","NA","3703768","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3703869","3703869","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3705930","NA","3673990","NA","3704534","NA","NA","NA","NA","3704751","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3705204","NA","NA","NA","NA","NA","NA","NA","3703769","NA","NA","NA","New experiment","18","13507","19","3705930","3703869","3704584","3704751","3705217","no","1024"
"95","95","699","699","#878787","no","xpyriment","legacy","legacy","0","3707476","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","7","NA","0","NA","7","7","NA","7","0","NA","7","0","NA","0","19","19","0","NA","0","NA","NA","NA","0","NA","NA","0","7","NA","0","NA","19","0","NA","NA","NA","7","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","19","NA","NA","NA","NA","NA","NA","NA","19","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","NA","NA","space","483","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","483","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy"," coup ","3649145","NA","NA","NA","3677428","NA","3614558","NA","3707760","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3707861","3707861","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3709942","NA","3673990","NA","3708519","NA","NA","NA","NA","3708736","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3709221","NA","NA","NA","NA","NA","NA","NA","3707761","NA","NA","NA","New experiment","19","13990","20","3709942","3707861","3708569","3708735","3709229","no","1024"
"95.2380952381","95.2380952381","689","689","#878787","no","xpyriment","legacy","legacy","0","3711493","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","8","NA","0","NA","8","8","NA","8","0","NA","8","0","NA","0","20","20","0","NA","0","NA","NA","NA","0","NA","NA","0","8","NA","0","NA","20","0","NA","NA","NA","8","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","20","NA","NA","NA","NA","NA","NA","NA","20","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","space","490","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","490","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","perc perc perc","3649145","NA","NA","NA","3677428","NA","3614558","NA","3711860","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3711961","3711961","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3714061","NA","3673990","NA","3712625","NA","NA","NA","NA","3712841","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3713332","NA","NA","NA","NA","NA","NA","NA","3711861","NA","NA","NA","New experiment","20","14480","21","3714061","3711961","3712675","3712841","3713348","no","1024"
"95.4545454545","95.4545454545","683","683","#878787","no","xpyriment","legacy","legacy","0","3715610","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","9","NA","0","NA","9","9","NA","9","0","NA","9","0","NA","0","21","21","0","NA","0","NA","NA","NA","0","NA","NA","0","9","NA","0","NA","21","0","NA","NA","NA","9","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","21","NA","NA","NA","NA","NA","NA","NA","21","NA","NA","NA","NA","NA","12/19/16 16:46:56","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-18.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","space","547","24840","NA","NA","NA","NA","3599519","NA","NA","NA","NA","NA","547","915","NA","NA","NA","NA","NA","NA","NA","7271","NA","NA","legacy","experiment","18","even","legacy","bolk aive bolk","3649145","NA","NA","NA","3677428","NA","3614558","NA","3715981","NA","NA","3675908","3613039","NA","3676668","3613798","NA","6211","3716082","3716082","3605747","NA","3673985","NA","NA","NA","6227","NA","NA","6212","3718232","NA","3673990","NA","3716743","NA","NA","NA","NA","3716960","3647506","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3605762","3615309","NA","3646472","NA","NA","NA","3605747","NA","3717508","NA","NA","NA","NA","NA","NA","NA","3715982","NA","NA","NA","New experiment","21","15027","22","3718232","3716082","3716793","3716959","3717520","no","1024"
