"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trigger","coordinates","correct","correct_keyboard_response","correct_keyboard_response_1","correct_new_joystick","correct_new_joystick_1","correct_new_joystick_2","correct_new_joystick_3","correct_new_joystick_3_1","correct_new_keyboard_response","correct_new_keyboard_response_1","correct_new_port_reader","correct_new_touch_response","correct_new_touch_response_1","correct_response","count_Finished_practice","count______sketchpad","count__inline_script","count__inline_script_1","count__one","count__one_1","count__one_2","count__one_2_1","count__sequence","count__sketchpad","count__sketchpad_1","count__three","count__three_1","count__three_1_1","count__two","count__two_1","count__two_1_1","count_experiment","count_fix_canvas","count_fix_trigger","count_get_stimuli","count_get_stimuli_1","count_get_stimuli_2","count_getting_started","count_initport","count_instructions","count_instructions_1","count_keyboard_response","count_keyboard_response_1","count_load_dlportioDLL","count_logger","count_logger_1","count_loop","count_new_fixation_dot","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_joystick","count_new_joystick_1","count_new_joystick_2","count_new_joystick_3","count_new_joystick_3_1","count_new_keyboard_response","count_new_keyboard_response_1","count_new_parallel_port_trigger","count_new_parallel_port_trigger_1","count_new_parallel_port_trigger_1_1","count_new_parallel_port_trigger_1_2","count_new_parallel_port_trigger_2","count_new_parallel_port_trigger_init","count_new_port_reader","count_new_sketchpad","count_new_touch_response","count_new_touch_response_1","count_one","count_practice_instructions","count_practice_loop","count_practice_loop_1","count_practice_sequence","count_practice_sequence_1","count_practice_trials","count_practice_trials_1","count_response_canvas","count_response_canvas_1","count_response_processing","count_response_processing_1","count_response_processing_1_1","count_sequence","count_sketchpad","count_sketchpad_1","count_sketchpad_1_1","count_three","count_trial_trigger","count_trigger11","count_two","count_welcome","cursor_x","cursor_y","datetime","description","experiment_file","experiment_path","flanker_type","font_bold","font_family","font_italic","font_size","foreground","height","keyboard_backend","lexicality","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finished_practice","response______sketchpad","response__sketchpad","response__sketchpad_1","response_instructions","response_instructions_1","response_keyboard_response","response_keyboard_response_1","response_new_fixation_dot","response_new_joystick","response_new_joystick_1","response_new_joystick_2","response_new_joystick_3","response_new_joystick_3_1","response_new_keyboard_response","response_new_keyboard_response_1","response_new_port_reader","response_new_sketchpad","response_new_touch_response","response_new_touch_response_1","response_practice_instructions","response_time","response_time_Finished_practice","response_time______sketchpad","response_time__sketchpad","response_time__sketchpad_1","response_time_instructions","response_time_instructions_1","response_time_keyboard_response","response_time_keyboard_response_1","response_time_new_fixation_dot","response_time_new_joystick","response_time_new_joystick_1","response_time_new_joystick_2","response_time_new_joystick_3","response_time_new_joystick_3_1","response_time_new_keyboard_response","response_time_new_keyboard_response_1","response_time_new_port_reader","response_time_new_sketchpad","response_time_new_touch_response","response_time_new_touch_response_1","response_time_practice_instructions","response_time_welcome","response_welcome","sampler_backend","start","subject_nr","subject_parity","synth_backend","target","time_Finished_practice","time______sketchpad","time__inline_script","time__inline_script_1","time__one","time__one_1","time__one_2","time__one_2_1","time__sequence","time__sketchpad","time__sketchpad_1","time__three","time__three_1","time__three_1_1","time__two","time__two_1","time__two_1_1","time_experiment","time_fix_canvas","time_fix_trigger","time_get_stimuli","time_get_stimuli_1","time_get_stimuli_2","time_getting_started","time_initport","time_instructions","time_instructions_1","time_keyboard_response","time_keyboard_response_1","time_load_dlportioDLL","time_logger","time_logger_1","time_loop","time_new_fixation_dot","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_joystick","time_new_joystick_1","time_new_joystick_2","time_new_joystick_3","time_new_joystick_3_1","time_new_keyboard_response","time_new_keyboard_response_1","time_new_parallel_port_trigger","time_new_parallel_port_trigger_1","time_new_parallel_port_trigger_1_1","time_new_parallel_port_trigger_1_2","time_new_parallel_port_trigger_2","time_new_parallel_port_trigger_init","time_new_port_reader","time_new_sketchpad","time_new_touch_response","time_new_touch_response_1","time_one","time_practice_instructions","time_practice_loop","time_practice_loop_1","time_practice_sequence","time_practice_sequence_1","time_practice_trials","time_practice_trials_1","time_response_canvas","time_response_canvas_1","time_response_processing","time_response_processing_1","time_response_processing_1_1","time_sequence","time_sketchpad","time_sketchpad_1","time_sketchpad_1_1","time_three","time_trial_trigger","time_trigger11","time_two","time_welcome","title","total_correct","total_response_time","total_responses","trigger_01","trigger_250","trigger_60","trigger_70","trigger_80","uniform_coordinates","width"
"76.9230769231","76.9230769231","909","909","#878787","no","xpyriment","legacy","legacy","0","2310195","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","0","NA","0","NA","0","0","NA","0","0","NA","0","0","NA","0","12","12","0","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","0","NA","12","0","NA","NA","NA","0","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","12","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","713","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","713","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," ocre ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2310481","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2312869","2312869","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2315171","NA","2308588","NA","2313522","NA","NA","NA","NA","2313739","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2314454","NA","NA","NA","NA","NA","NA","NA","2312769","NA","NA","NA","New experiment","10","11823","13","2315171","2312869","2313572","2313738","2314458","no","1024"
"78.5714285714","78.5714285714","885","885","#878787","no","xpyriment","legacy","legacy","0","2316791","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","1","NA","0","NA","1","1","NA","1","0","NA","1","0","NA","0","13","13","0","NA","0","NA","NA","NA","0","NA","NA","0","1","NA","0","NA","13","0","NA","NA","NA","1","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","13","NA","NA","NA","NA","NA","NA","NA","13","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","568","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","568","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," onde ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2317101","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2317202","2317202","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2319369","NA","2308588","NA","2317867","NA","NA","NA","NA","2318084","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2318653","NA","NA","NA","NA","NA","NA","NA","2317102","NA","NA","NA","New experiment","11","12391","14","2319369","2317202","2317917","2318084","2318657","no","1024"
"80","80","875","875","#878787","no","xpyriment","legacy","legacy","0","2321015","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","2","NA","0","NA","2","2","NA","2","0","NA","2","0","NA","0","14","14","0","NA","0","NA","NA","NA","0","NA","NA","0","2","NA","0","NA","14","0","NA","NA","NA","2","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","14","NA","NA","NA","NA","NA","NA","NA","14","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","746","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","746","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," doce ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2321302","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2321403","2321403","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2323755","NA","2308588","NA","2322066","NA","NA","NA","NA","2322282","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2323029","NA","NA","NA","NA","NA","NA","NA","2321303","NA","NA","NA","New experiment","12","13137","15","2323755","2321403","2322116","2322282","2323042","no","1024"
"81.25","81.25","863","863","#878787","no","xpyriment","legacy","legacy","0","2325365","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","3","NA","0","NA","3","3","NA","3","0","NA","3","0","NA","0","15","15","0","NA","0","NA","NA","NA","0","NA","NA","0","3","NA","0","NA","15","0","NA","NA","NA","3","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","15","NA","NA","NA","NA","NA","NA","NA","15","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","685","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","685","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," zour ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2325669","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2325770","2325770","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2328060","NA","2308588","NA","2326437","NA","NA","NA","NA","2326654","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2327341","NA","NA","NA","NA","NA","NA","NA","2325670","NA","NA","NA","New experiment","13","13822","16","2328060","2325770","2326487","2326654","2327346","no","1024"
"82.3529411765","82.3529411765","848","848","#878787","no","xpyriment","legacy","legacy","0","2329620","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","4","NA","0","NA","4","4","NA","4","0","NA","4","0","NA","0","16","16","0","NA","0","NA","NA","NA","0","NA","NA","0","4","NA","0","NA","16","0","NA","NA","NA","4","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","16","NA","NA","NA","NA","NA","NA","NA","16","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","610","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","610","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy","code code code","2279564","NA","NA","NA","2312019","NA","2242565","NA","2330003","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2330104","2330104","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2332324","NA","2308588","NA","2330769","NA","NA","NA","NA","2330985","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2331597","NA","NA","NA","NA","NA","NA","NA","2330004","NA","NA","NA","New experiment","14","14432","17","2332324","2330104","2330819","2330985","2331612","no","1024"
"83.3333333333","83.3333333333","846","846","#878787","no","xpyriment","legacy","legacy","0","2333898","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","5","NA","0","NA","5","5","NA","5","0","NA","5","0","NA","0","17","17","0","NA","0","NA","NA","NA","0","NA","NA","0","5","NA","0","NA","17","0","NA","NA","NA","5","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","17","NA","NA","NA","NA","NA","NA","NA","17","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","796","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","796","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy","insi coge insi","2279564","NA","NA","NA","2312019","NA","2242565","NA","2334293","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2334394","2334394","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2336790","NA","2308588","NA","2335047","NA","NA","NA","NA","2335263","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2336061","NA","NA","NA","NA","NA","NA","NA","2334294","NA","NA","NA","New experiment","15","15228","18","2336790","2334394","2335097","2335263","2336077","no","1024"
"84.2105263158","84.2105263158","835","835","#878787","no","xpyriment","legacy","legacy","0","2338367","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","6","NA","0","NA","6","6","NA","6","0","NA","6","0","NA","0","18","18","0","NA","0","NA","NA","NA","0","NA","NA","0","6","NA","0","NA","18","0","NA","NA","NA","6","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","18","NA","NA","NA","NA","NA","NA","NA","18","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","640","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","640","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy","psin psin psin","2279564","NA","NA","NA","2312019","NA","2242565","NA","2338736","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2338837","2338837","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2341081","NA","2308588","NA","2339499","NA","NA","NA","NA","2339715","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2340357","NA","NA","NA","NA","NA","NA","NA","2338737","NA","NA","NA","New experiment","16","15868","19","2341081","2338837","2339549","2339715","2340369","no","1024"
"85","85","818","818","#878787","no","xpyriment","legacy","legacy","0","2342642","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","7","NA","0","NA","7","7","NA","7","0","NA","7","0","NA","0","19","19","0","NA","0","NA","NA","NA","0","NA","NA","0","7","NA","0","NA","19","0","NA","NA","NA","7","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","19","NA","NA","NA","NA","NA","NA","NA","19","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","497","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","497","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," nage ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2342931","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2343033","2343033","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2345133","NA","2308588","NA","2343697","NA","NA","NA","NA","2343914","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2344413","NA","NA","NA","NA","NA","NA","NA","2342933","NA","NA","NA","New experiment","17","16365","20","2345133","2343033","2343747","2343914","2344421","no","1024"
"85.7142857143","85.7142857143","807","807","#878787","no","xpyriment","legacy","legacy","0","2346677","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","8","NA","0","NA","8","8","NA","8","0","NA","8","0","NA","0","20","20","0","NA","0","NA","NA","NA","0","NA","NA","0","8","NA","0","NA","20","0","NA","NA","NA","8","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","20","NA","NA","NA","NA","NA","NA","NA","20","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","596","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","596","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy","suit elle suit","2279564","NA","NA","NA","2312019","NA","2242565","NA","2347053","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2347154","2347154","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2349345","NA","2308588","NA","2347816","NA","NA","NA","NA","2348032","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2348629","NA","NA","NA","NA","NA","NA","NA","2347054","NA","NA","NA","New experiment","18","16961","21","2349345","2347154","2347866","2348032","2348631","no","1024"
"86.3636363636","86.3636363636","797","797","#878787","no","xpyriment","legacy","legacy","0","2350922","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","9","NA","0","NA","9","9","NA","9","0","NA","9","0","NA","0","21","21","0","NA","0","NA","NA","NA","0","NA","NA","0","9","NA","0","NA","21","0","NA","NA","NA","9","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","21","NA","NA","NA","NA","NA","NA","NA","21","NA","NA","NA","NA","NA","12/14/16 09:52:12","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-7.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","580","29020","NA","NA","NA","NA","2224980","NA","NA","NA","NA","NA","580","592","NA","NA","NA","NA","NA","NA","NA","7126","NA","NA","legacy","experiment","7","odd","legacy"," paie ","2279564","NA","NA","NA","2312019","NA","2242565","NA","2351208","NA","NA","2310500","2241046","NA","2311259","2241805","NA","8915","2351309","2351309","2233908","NA","2308586","NA","NA","NA","8927","NA","NA","8916","2353490","NA","2308588","NA","2351974","NA","NA","NA","NA","2352191","2278245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2233916","2243315","NA","2277214","NA","NA","NA","2233907","NA","2352772","NA","NA","NA","NA","NA","NA","NA","2351209","NA","NA","NA","New experiment","19","17541","22","2353490","2351309","2352024","2352191","2352777","no","1024"
