item_nr;prime;all;target;condition
253;commode;commode;commode;REALWORD/simple
254;contact;contact;contact;REALWORD/simple
255;contrôle;contrôle;contrôle;REALWORD/simple
256;concert;concert;concert;REALWORD/simple
257;griffe;griffe;griffe;REALWORD/simple
258;perruque;perruque;perruque;REALWORD/simple
259;flaque;flaque;flaque;REALWORD/simple
260;plaque;plaque;plaque;REALWORD/simple
261;puzzle;puzzle;puzzle;REALWORD/simple
262;pyramide;pyramide;pyramide;REALWORD/simple
263;soldat;soldat;soldat;REALWORD/simple
264;cigogne;cigogne;cigogne;REALWORD/simple
265;talent;talent;talent;REALWORD/simple
266;tomate;tomate;tomate;REALWORD/simple
267;triomphe;triomphe;triomphe;REALWORD/simple
268;cigare;cigare;cigare;REALWORD/simple
269;boulanger;boulanger;boulanger;REALWORD/complex
270;traitement;traitement;traitement;REALWORD/complex
271;décision;décision;décision;REALWORD/complex
272;serviteur;serviteur;serviteur;REALWORD/complex
273;stupidité;stupidité;stupidité;REALWORD/complex
274;existence;existence;existence;REALWORD/complex
275;forteresse;forteresse;forteresse;REALWORD/complex
276;pêcheur;pêcheur;pêcheur;REALWORD/complex
277;chercheur;chercheur;chercheur;REALWORD/complex
278;liberté;liberté;liberté;REALWORD/complex
279;coiffure;coiffure;coiffure;REALWORD/complex
280;jeunesse;jeunesse;jeunesse;REALWORD/complex
281;maladie;maladie;maladie;REALWORD/complex
282;artiste;artiste;artiste;REALWORD/complex
283;puissance;puissance;puissance;REALWORD/complex
284;clairière;clairière;clairière;REALWORD/complex
285;menteur;menteur;menteur;REALWORD/complex
286;directeur;directeur;directeur;REALWORD/complex
287;humanité;humanité;humanité;REALWORD/complex
288;musicien;musicien;musicien;REALWORD/complex
289;beauté;beauté;beauté;REALWORD/complex
290;sécurité;sécurité;sécurité;REALWORD/complex
291;règlement;règlement;règlement;REALWORD/complex
292;gagnant;gagnant;gagnant;REALWORD/complex
293;joueur;joueur;joueur;REALWORD/complex
294;position;position;position;REALWORD/complex
295;viseur;viseur;viseur;REALWORD/complex
296;entraîneur;entraîneur;entraîneur;REALWORD/complex
297;formation;formation;formation;REALWORD/complex
298;sagesse;sagesse;sagesse;REALWORD/complex
