ID,Words,POS,word_num,Prob of coming after,Prob of coming bef,Condition,,POSbef,Probbef,,POSaft,Probaft
17,cette,PRO,1,,0.004197531,normal,,PRPADV,0.020288115,,PRPADV,0.021616782
17,fille,NOU,2,0.003566334,0.024923632,normal,,PRPDET,0.274689885,,PRPDET,0.294576618
17,voit,VER,3,0.032714167,0.430972389,normal,,PRPINT,0.038666121,,PRPINT,0.024174981
17,tout,ADV,4,0.237261252,,normal,,PRPCON,0.009439414,,PRPCON,0.006267588
18,leur,DET,1,,0.555390947,normal,,PRPNOU,0.228559671,,PRPNOU,0.39370683
18,fille,NOU,2,0.790606201,0.147968044,normal,,PRPPRO,0.04052333,,PRPPRO,0.089536966
18,les,PRO,3,0.231217078,0.766592613,normal,,PRPPRP,0.050811943,,PRPPRP,0.049629061
18,voit,VER,4,0.656324299,,normal,,PRPVER,0.058039433,,PRPVER,0.106932719
19,nos,DET,1,,0.555390947,normal,,VERADJ,0.241223404,,VERADJ,0.042561628
19,rois,NOU,2,0.790606201,0.024923632,normal,,VERADV,0.430972389,,VERADV,0.237261252
19,vont,VER,3,0.032714167,0.070952513,normal,,VERDET,0.346851145,,VERDET,0.192188223
19,rire,VER,4,0.067543454,,normal,,VERINT,0.194967267,,VERINT,0.062983279
20,tous,PRO,1,,0.766592613,normal,,VERCON,0.240416105,,VERCON,0.082479677
20,sont,VER,2,0.656324299,0.430972389,normal,,VERNOU,0.029218107,,VERNOU,0.040843302
20,mal,ADV,3,0.237261252,0.1484994,normal,,VERPRO,0.123769827,,VERPRO,0.141299319
20,ici,ADV,4,0.142873643,,normal,,VERPRP,0.26322682,,VERPRP,0.132839865
21,joue,NOU,1,,0.350969094,normal,,VERVER,0.070952513,,VERVER,0.067543454
21,avec,PRP,2,0.241105258,0.274689885,normal,,,,,,
21,une,DET,3,0.294576618,0.211702128,normal,,,,,,
21,amie,ADJ,4,0.082137899,,normal,,,,,,
22,cet,PRO,1,,0.004197531,normal,,,,,,
22,écran,NOU,2,0.003566334,0.350969094,normal,,,,,,
22,pour,PRP,3,0.241105258,0.04052333,normal,,,,,,
22,vous,PRO,4,0.089536966,,normal,,,,,,
23,les,DET,1,,0.555390947,normal,,,,,,
