POSbef,POS,POSaft,Probbef,Probaft
NOU,NOU,NOU,0.100408407,0.100408407
NOU,VER,NOU,0.30371551,0.112859847
VER,NOU,VER,0.086541399,0.232890315
VER,VER,VER,0.175068744,0.175068744
