FFDr	FFDp	SFD	GZD	TVT	SKP	nfp	nsp	nap	s1	s2	nlett1	ISL	OSL	f	pred	ILP	haveFixation	haveFirstPass
124	0	124	124	124	0	1	0	1	0	0	3	6.141467	5.068755	5.878413	0.7	0.1026545	1	1
202	0	202	202	202	0	1	0	1	0	0	5	5.068755	8.167372	5.471258	0	0.246562166666667	1	1
128	0	128	128	128	0	1	0	1	0	1	3	8.167372	14.138491	6.509479	0.357143	0.91168625	1	1
0	0	0	0	0	0	0	0	0	0	0	7	0	0	3.67256	0.142857	0	0	0
184	0	184	184	184	0	1	0	1	0	1	5	14.138491	7.460542	4.06487	0.642857	0.964206	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.776456	0.128571	0	0	0
150	0	150	150	150	0	1	0	1	0	0	7	7.460542	8.714858	3.75694	0	0.53072225	1	1
0	0	0	152	152	0	1	0	1	0	0	6	8.714858	0	2.029384	0.485714	0	1	1
0	0	0	0	0	0	0	0	0	0	0	4	0	0	5.878413	0.7	0	0	0
0	0	0	318	318	0	0	0	0	0	0	3	0	9.24279	4.672661	0.014925	0	1	1
114	0	114	114	114	0	1	0	1	0	0	12	9.24279	8.929922	2.44248	0	0.601686923076923	1	1
180	0	180	180	180	0	1	0	1	0	1	3	8.929922	5.25707	5.577601	0.208955	0.937963	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.776456	0.343284	0	0	0
170	0	170	170	170	0	1	0	1	0	0	3	5.25707	6.309951	5.784187	0.343284	0.5022305	1	1
0	0	0	204	204	0	1	0	1	0	0	7	6.309951	0	2.977266	0.014925	0	1	1
0	0	0	0	0	0	0	0	0	0	0	7	0	0	4.378471	0.358209	0	0	0
0	0	0	300	300	0	0	0	0	0	0	4	0	7.010866	3.730944	0	0	1	1
124	0	124	124	124	0	1	0	1	0	0	7	7.010866	9.008821	3.972157	0.013514	0.479149875	1	1
236	0	236	236	236	0	1	0	1	0	0	7	9.008821	8.007577	3.12156	0.013514	0.6052525	1	1
372	0	372	372	372	0	1	0	1	0	0	11	8.007577	12.387951	2.885361	0.027027	0.404133083333333	1	1
174	0	174	174	174	0	1	0	1	0	1	5	12.387951	5.32467399999999	4.095204	0.013514	0.872924666666667	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.776456	0.405405	0	0	0
150	0	150	150	150	0	1	0	1	0	0	3	5.32467399999999	5.474611	5.970848	0.040541	0.3905555	1	1
0	0	0	200	200	0	0	0	0	0	0	7	5.474611	0	3.85309	0.175676	0	1	1
0	0	0	232	232	0	0	0	0	0	0	4	0	8.13257	4.57344	0	0	1	1
